ID,MODEL,MANUFACTURER_ID,DIM_WIDTH,DIM_HEIGHT,DIM_DEPTH,DIM_WEIGHT,WP,VMPP,IMPP,VOC,ISC,SOLAR_CELLS,CELL_TYPE,SURFACE_TYPE,COEF_PMAX,COEF_VOC,COEF_ISC,ACTIVE
60,TSM-410DE15M(II),15,2024.0,1004.0,35.0,22.8,410,40.7,10.07,49.4,10.59,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
61,TSM-415DE15M(II),15,2024.0,1004.0,35.0,22.8,415,40.9,10.15,49.6,10.66,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
62,BYD 520 MLTK-36,7,2256.0,1133.0,35.0,29.0,520,41.17,12.64,48.52,13.37,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.39,-0.3,0.06,0
63,BYD 525 MLTK-36,7,2256.0,1133.0,35.0,29.0,525,41.39,12.69,48.82,13.41,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.39,-0.3,0.06,0
64,BYD 530 MLTK-36,7,2256.0,1133.0,35.0,29.0,530,41.61,12.74,49.12,13.45,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.39,-0.3,0.06,0
65,BYD 535 MLTK-36,7,2256.0,1133.0,35.0,29.0,535,41.83,12.79,49.42,13.49,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.39,-0.3,0.06,0
66,BYD 540 MLTK-36,7,2256.0,1133.0,35.0,29.0,540,42.05,12.84,49.72,13.53,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.39,-0.3,0.06,0
67,RSM144-7-430M,12,2108.0,1048.0,40.0,25.0,430,40.97,10.5,49.3,11.1,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
68,RSM144-7-435M,12,2108.0,1048.0,40.0,25.0,435,41.05,10.6,49.4,11.2,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
69,RSM144-7-440M,12,2108.0,1048.0,40.0,25.0,440,41.13,10.7,49.5,11.3,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
70,RSM144-7-445M,12,2108.0,1048.0,40.0,25.0,445,41.25,10.8,49.6,11.4,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
71,RSM144-7-450M,12,2108.0,1048.0,40.0,25.0,450,41.3,10.9,49.7,11.5,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
72,RSM156-6-425M,12,2178.0,996.0,40.0,25.5,425,43.5,9.78,52.23,10.38,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
73,RSM156-6-430M,12,2178.0,996.0,40.0,25.5,430,43.6,9.87,52.38,10.47,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
74,RSM156-6-435M,12,2178.0,996.0,40.0,25.5,435,43.7,9.97,52.5,10.57,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
